architecture,n,n_answer,n_abstain,coverage,abstention_rate,answer_correctness,answer_correctness_claim,selective_accuracy,unsupported_emitted_rate,faithfulness,faithfulness_stored_verification_score,context_precision,context_recall,context_recall_numeric,mean_confidence,mean_latency_seconds,n_correct_displayed,n_correct_claim,n_correct_answered
single_agent,140,140,0,1.0,0.0,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.7714285714285715,0.5618563773023016,,0.4303571428571429,0.9,0.12857142857142856,,20.289951890849913,32,32,32
multi_agent,140,140,0,1.0,0.0,0.20714285714285716,0.20714285714285716,0.20714285714285716,0.7928571428571428,0.5552848067268494,0.5416947096520864,0.4303571428571429,0.9,0.12857142857142856,0.5416947096520864,22.85057138682142,29,29,29
multi_agent_uq,140,78,62,0.5571428571428572,0.44285714285714284,0.22857142857142856,0.24285714285714285,0.41025641025641024,0.32857142857142857,0.5539262406960617,0.5587243834300339,0.4303571428571429,0.9,0.12857142857142856,0.6440412914408424,22.855708307164324,32,34,32
