architecture,label,n,n_answer,n_abstain,coverage,coverage_ci_low,coverage_ci_high,abstention_rate,displayed_correct_k,displayed_correctness,displayed_ci_low,displayed_ci_high,claim_correct_k,claim_correctness,claim_ci_low,claim_ci_high,selective_accuracy,selective_ci_low,selective_ci_high,unsupported_emitted,unsupported_ci_low,unsupported_ci_high,llm_faithfulness_mean,llm_faithfulness_sd,llm_faithfulness_ci_low,llm_faithfulness_ci_high,token_overlap_mean,token_overlap_sd,context_precision_mean,context_recall_mean,confidence_mean,confidence_sd
single_agent,Single-Agent,140,140,0,1.0000,0.9733,1.0000,0.0000,32,0.2286,0.1668,0.3048,32,0.2286,0.1668,0.3048,0.2286,0.1668,0.3048,0.7714,0.6952,0.8332,0.3241,0.4544,0.2482,0.4000,0.5619,0.2130,0.4304,0.9000,,
multi_agent,Multi-Agent,140,140,0,1.0000,0.9733,1.0000,0.0000,29,0.2071,0.1483,0.2817,29,0.2071,0.1483,0.2817,0.2071,0.1483,0.2817,0.7929,0.7183,0.8517,0.3484,0.4543,0.2725,0.4243,0.5553,0.2222,0.4304,0.9000,0.5417,0.2849
multi_agent_uq,Multi-Agent + UQ,140,78,62,0.5571,0.4744,0.6368,0.4429,32,0.2286,0.1668,0.3048,34,0.2429,0.1793,0.3201,0.4103,0.3078,0.5211,0.3286,0.2563,0.4100,0.3749,0.4715,0.2961,0.4537,0.5539,0.2245,0.4304,0.9000,0.6440,0.1442
